,Type,Age,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,State,VideoAmt,PhotoAmt,DesSem,DesSemCat,NameSem,NameSemCat,Description_SIZE,Description_VALUABLE_SIZE,Description_SCORE,Object_SIZE,Object_COLOR_H,Object_COLOR_S,Object_COLOR_V,Image_WIDTH,Image_HEIGHT,AdoptionSpeed,Breed1_name,Breed2_name,Mixed,BreedName
23,1,2,1,1,2,0,3,1,1,1,2,1,0,41326,0,0,0.288888889,1,0,0,30,5,0.5,0,-1,-1,-1,-1,-1,1,Rottweiler,No_Breed,FALSE,Rottweiler
24,2,0,2,2,7,0,1,1,2,1,2,1,0,41327,0,1,0.05,1,0,0,54,11,1.1,10,52,146,140,400,400,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
25,2,0,1,1,0,0,1,1,2,2,2,1,0,41361,0,1,0,0,0,0,-1,-1,-1,10,132,88,109,400,266,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
26,2,0,2,1,7,0,1,1,1,2,2,1,0,41327,0,5,0,0,0,0,3,1,0,50,80,43,110,400,300,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
27,2,2,2,6,0,0,2,3,2,2,2,1,0,41326,0,5,0.5,1,0,0,4,2,0,50,53,113,124,399,341,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
28,2,0,2,2,0,0,1,2,2,2,2,1,0,41326,0,3,0.625,1,0,0,-1,-1,-1,30,49,64,121,333,366,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
29,1,2,1,1,0,0,2,1,2,2,2,1,0,41336,0,4,0.229166667,1,0,0,44,5,2.3,38,99,68,148,349,350,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
30,1,2,1,5,0,0,2,2,1,1,2,1,0,41326,0,1,0.502083333,1,0,0,16,3,0.9,10,18,46,156,127,225,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
31,2,0,2,7,0,0,2,2,2,1,2,1,0,41326,0,13,-0.0125,-1,0,0,176,20,0.9,130,18,97,158,640,442,1,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
32,1,0,1,7,0,0,2,1,1,1,1,1,0,41401,0,6,0.118055556,1,0,0,44,7,1.6,58,80,25,135,334,366,1,Jack_Russell_Terrier,Mixed_Breed,TRUE,Jack_Russell_Terrier__Mixed_Breed
33,1,2,1,2,7,0,2,2,2,1,1,1,0,41336,0,2,0.35,1,0,0,38,6,0.9,19,63,37,129,203,360,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
34,2,0,1,4,7,0,1,3,1,1,2,1,0,41326,0,13,0.196666667,1,0,0,78,10,2.5,118,59,43,141,339,259,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
35,1,2,2,2,7,0,2,1,1,1,1,1,0,41326,0,3,0.181481481,1,0,0,48,8,1.7,23,19,90,107,516,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
36,2,2,1,1,2,7,3,3,1,1,1,1,0,41326,0,3,0.145864528,1,0,0,90,13,0.8,30,48,54,138,344,344,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
37,2,1,1,1,2,7,2,1,1,1,1,1,10,41401,0,1,0.208333333,1,0,0,15,1,0.8,10,107,105,181,266,400,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
38,1,0,1,2,7,0,2,1,1,1,2,1,0,41326,0,3,0.44,1,0,0,54,9,0.3,30,74,111,142,270,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
39,1,0,2,2,7,0,1,1,3,3,3,2,0,41326,0,0,0.327606061,1,-0.4,-1,52,8,1.2,0,-1,-1,-1,-1,-1,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
40,2,0,1,1,7,0,2,1,2,1,2,1,3,41326,0,4,0.074702381,1,0,0,119,16,1.8,33,86,107,115,640,600,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
41,1,2,2,5,0,0,2,2,1,1,1,1,0,41326,0,2,0.219047619,1,0,0,27,5,0.9,20,26,49,134,400,270,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
42,1,0,1,5,0,0,3,2,2,2,2,1,0,41326,0,3,0.329166667,1,0,0,22,5,1.3,27,75,51,106,127,225,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
43,2,0,2,4,0,0,2,1,2,2,2,1,0,41326,0,5,0.145,1,0,0,53,11,0.3,47,35,56,137,400,300,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
44,1,1,1,2,5,0,2,1,1,1,3,1,0,41327,0,2,0.219047619,1,0,0,70,14,2.4,14,42,70,154,500,560,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
45,1,2,2,2,5,0,2,1,2,2,1,1,0,41326,0,2,0.152777778,1,0,0,94,15,-1.1,20,40,88,175,379,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
46,1,0,1,1,2,0,2,2,2,2,2,1,0,41327,0,5,0.525,1,0,0,25,8,0.2,47,50,95,117,359,320,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
47,1,2,2,2,5,0,2,2,1,1,2,1,0,41326,0,5,0.2,1,0,0,5,2,-0.2,50,50,65,142,339,360,0,Shih_Tzu,No_Breed,FALSE,Shih_Tzu
48,2,0,2,2,0,0,2,1,2,2,2,1,0,41324,0,1,0.6,1,0,0,7,1,0.9,10,135,61,96,400,300,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
49,2,1,2,2,7,0,2,1,2,2,2,1,0,41401,0,1,0.148611111,1,0,0,62,11,0.9,10,12,60,111,400,300,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
50,1,2,1,1,3,6,2,2,1,1,1,1,0,41401,0,3,0.451439394,1,0,0,28,5,2.1,30,57,76,145,400,491,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
51,1,0,2,1,2,0,2,2,2,1,2,1,0,41326,0,1,0,0,0,0,3,2,0,10,35,98,127,270,480,1,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
52,1,0,1,1,2,7,1,1,1,3,2,1,0,41401,0,5,0.176785714,1,0,0,43,12,0.9,43,55,50,121,380,320,0,Labrador_Retriever,Jack_Russell_Terrier,FALSE,Labrador_Retriever
53,1,0,1,1,2,0,1,1,1,1,2,1,0,41326,0,3,-0.007777778,-1,0,0,37,4,-0.1,28,41,59,128,640,640,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
54,1,0,2,2,5,0,2,1,2,1,2,1,0,41336,0,1,0.063055556,1,0,0,30,4,1.2,10,41,84,101,225,399,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
55,1,2,2,2,0,0,2,1,1,1,1,1,0,41326,0,3,0.162222222,1,0,0,25,3,0.7,25,51,79,136,453,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
56,1,0,1,2,0,0,2,2,1,1,2,1,0,41326,0,5,0,0,0,0,2,1,0,43,16,110,113,566,384,0,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
57,1,0,2,2,7,0,2,1,1,1,2,1,0,41326,0,1,0.25,1,0,0,40,5,-0.1,10,52,70,107,640,360,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
58,1,0,2,1,2,0,2,1,1,2,2,1,0,41327,0,1,0.083333333,1,0,0,36,7,0.9,10,71,92,125,400,261,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
59,1,0,1,1,2,0,1,3,1,1,3,1,25,41326,0,2,0.475,1,0,0,48,5,1.6,20,34,130,132,226,400,0,Silky_Terrier,No_Breed,FALSE,Silky_Terrier
60,1,0,1,1,7,0,2,2,2,1,2,1,0,41325,0,1,0.64,1,0,0,36,8,1.2,10,37,77,134,360,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
61,1,0,1,5,0,0,2,2,3,3,2,1,0,41326,0,3,0.45,1,0,0,18,4,1.4,29,27,61,152,516,400,1,Mixed_Breed,Labrador_Retriever,TRUE,Mixed_Breed__Labrador_Retriever
62,2,1,2,5,7,0,2,2,2,1,2,1,5,41326,0,4,0.3,1,0,0,21,5,0.8,39,25,67,100,316,375,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
63,2,2,2,1,2,0,2,3,2,2,2,1,0,41326,0,2,0.025,1,0,0,28,2,1,19,63,77,138,360,480,1,Bombay,Persian,FALSE,Bombay
64,1,0,1,1,2,0,3,2,3,3,3,1,0,41326,0,4,0.368181818,1,0,0,57,15,0.6,38,17,62,125,360,480,0,Rottweiler,Mixed_Breed,TRUE,Rottweiler__Mixed_Breed
65,1,2,2,5,0,0,2,2,1,1,1,1,0,41330,3,11,0.107455507,1,0,0,283,71,0.8,93,50,120,146,375,318,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
66,1,0,1,1,7,0,2,1,1,1,2,1,0,41326,4,18,0.082920829,1,0,0,228,41,3.3,161,30,77,133,254,305,1,Mixed_Breed,Dalmatian,TRUE,Mixed_Breed__Dalmatian
67,1,0,1,2,0,0,2,1,2,2,2,1,0,41330,0,5,0.244136364,1,0,0,119,28,0.8,50,71,144,183,400,380,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
68,2,2,1,4,0,0,3,1,2,2,2,2,0,41324,0,12,0,0,0,0,-1,-1,-1,118,70,70,160,392,313,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
69,2,2,2,2,4,0,2,1,2,2,1,1,0,41326,0,1,0,0,0,0,4,3,-0.2,10,31,40,125,360,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
70,1,0,1,1,2,0,2,1,2,2,2,1,0,41327,0,2,0.212121212,1,0,0,47,11,0.2,19,54,47,119,400,299,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
71,2,2,2,1,6,0,3,3,1,1,2,1,0,41401,0,3,0,0,0,0,-1,-1,-1,30,82,120,137,400,301,0,Persian,No_Breed,FALSE,Persian
72,1,0,2,2,0,0,1,3,3,1,1,1,0,41401,0,3,0.220833333,1,0,0,33,9,1.2,30,22,59,108,310,355,1,Silky_Terrier,Pekingese,FALSE,Silky_Terrier
73,1,2,1,2,7,0,2,1,2,2,2,1,0,41336,0,3,0,0,0,0,16,3,0,25,23,91,129,583,483,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
74,2,0,1,1,7,0,2,2,3,3,2,1,0,41326,0,1,0,0,0,0,3,1,0.1,10,40,26,115,400,300,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
75,1,2,2,1,6,7,2,2,3,3,1,1,0,41326,0,2,0.428935185,1,0,0,84,14,2.7,20,93,40,112,400,346,0,Husky,Mixed_Breed,TRUE,Husky__Mixed_Breed
76,1,2,1,6,0,0,2,2,1,1,1,1,0,41401,0,3,0.355,1,0,0,44,8,2.4,30,17,59,110,453,533,1,Schnauzer,No_Breed,FALSE,Schnauzer
77,1,0,2,1,2,7,2,2,1,1,2,1,0,41326,0,1,0,0,0,0,2,1,0,8,11,102,126,400,225,1,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
78,2,0,2,2,3,0,1,1,1,1,2,1,0,41326,0,7,0.160227273,1,0,0,110,20,2.9,70,18,105,159,640,594,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
79,2,0,1,3,0,0,1,2,2,2,2,1,0,41401,0,2,0,0,0,0,4,2,0.9,20,11,157,152,400,268,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
80,1,0,2,1,2,0,2,1,2,2,2,1,0,41401,0,2,0.261111111,1,0,0,23,4,1.2,17,16,79,144,358,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
81,2,0,2,6,7,0,2,1,2,1,2,1,0,41401,0,2,0.159962121,1,0,0,22,4,2.3,20,113,67,135,377,221,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
82,1,0,2,2,0,0,2,1,1,1,2,1,0,41401,0,4,0.027833333,1,0,0,31,3,1,37,35,95,123,322,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
83,2,0,2,1,7,0,2,1,1,1,2,1,0,41401,0,5,0.116879218,1,0,0,321,59,5.2,43,52,60,136,400,300,0,Mixed_Breed,Tuxedo,TRUE,Mixed_Breed__Tuxedo
84,1,2,1,1,2,7,3,1,3,3,3,1,0,41401,0,3,0.10005291,1,0,0,176,25,-0.2,27,35,79,101,270,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
85,1,0,2,2,0,0,2,1,2,2,2,1,0,41326,0,4,0.2625,1,0,0,36,8,0.9,38,28,112,144,225,300,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
86,1,2,2,2,3,4,3,2,1,1,2,1,0,41326,0,4,0.164007937,1,0.3,1,134,19,2.2,38,46,96,147,640,479,0,Golden_Retriever,No_Breed,FALSE,Golden_Retriever
87,2,0,2,1,2,7,1,1,2,1,2,1,0,41326,0,3,0.233333333,1,0,0,11,5,0.9,27,95,49,123,422,479,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
88,2,2,1,3,0,0,2,2,1,1,2,1,0,41326,0,0,0.189583333,1,0,0,17,4,1.3,0,-1,-1,-1,-1,-1,1,Persian,No_Breed,FALSE,Persian
89,2,0,2,2,5,7,2,1,2,1,3,1,0,41326,0,4,0,0,0,0,-1,-1,-1,39,77,56,95,570,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
90,1,2,1,1,5,0,3,1,1,1,1,1,0,41326,0,4,0.242770112,1,0,0,286,49,6.4,32,44,114,120,375,325,0,Rottweiler,No_Breed,FALSE,Rottweiler
91,1,2,1,1,6,7,2,2,1,2,2,1,25,41332,0,1,0.243016632,1,0,0,208,44,3.1,10,54,59,120,271,479,0,Siberian_Husky,No_Breed,FALSE,Siberian_Husky
92,2,0,1,1,7,0,1,2,2,2,2,1,0,41326,1,1,-0.002083333,-1,0,0,31,6,1.2,9,65,50,148,300,400,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
93,1,0,1,5,7,0,2,1,1,1,1,1,0,41401,0,6,0.416666667,1,0,0,14,4,1.3,50,64,62,143,333,366,1,Collie,Basenji,FALSE,Collie
94,1,2,2,1,2,0,2,2,3,3,3,1,0,41401,0,3,0.1,1,0,0,81,16,0.8,28,11,161,109,225,400,1,German_Shepherd_Dog,Mixed_Breed,TRUE,German_Shepherd_Dog__Mixed_Breed
95,1,0,1,2,0,0,2,2,1,1,2,1,0,41326,0,3,0.259722222,1,0,0,53,8,1.2,29,47,109,133,371,400,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
96,1,0,2,1,0,0,2,1,2,1,2,1,0,41335,0,5,0.459090909,1,0,0,125,21,4.1,50,41,25,147,602,586,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
97,2,1,1,2,5,0,2,1,1,1,2,1,5,41326,0,8,0.345833333,1,0.6,1,40,6,2.6,80,58,60,132,398,312,0,Siamese,Mixed_Breed,TRUE,Siamese__Mixed_Breed
98,2,2,1,1,0,0,2,2,2,2,2,1,0,41326,0,1,0.155492424,1,0,0,72,11,2.7,10,68,107,104,203,360,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
99,1,0,2,1,2,7,2,2,1,1,1,1,0,41326,0,10,0.227777778,1,0,0,57,10,0.1,72,69,56,127,380,320,1,Mixed_Breed,Bluetick_Coonhound,TRUE,Mixed_Breed__Bluetick_Coonhound
100,1,0,1,1,2,0,2,1,2,3,2,1,0,41326,0,3,0.45,1,0,0,31,6,1.4,30,87,94,119,355,332,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
101,2,1,2,1,4,7,2,1,1,1,2,1,0,41326,0,7,0,0,0,0,3,2,0.1,68,68,76,146,385,314,0,Calico,Tortoiseshell,FALSE,Calico
102,2,0,1,4,0,0,2,3,2,1,2,1,10,41401,0,5,0.183645833,1,0,0,195,39,2.2,48,14,96,124,360,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
103,1,2,2,1,7,0,2,1,1,1,1,1,0,41401,0,2,0.112121212,1,0,0,19,6,1,18,23,59,140,300,400,1,American_Staffordshire_Terrier,No_Breed,FALSE,American_Staffordshire_Terrier
104,1,2,2,2,0,0,2,1,1,1,1,1,0,41326,0,2,0.288611111,1,0,0,91,17,2.5,14,44,62,132,300,400,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
105,2,2,2,1,2,7,1,1,3,3,1,1,0,41326,0,3,0.25625,1,0,0,84,20,1.3,30,15,71,142,400,300,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
106,1,2,1,1,2,0,2,2,1,1,1,1,0,41326,0,2,0.755,1,0,0,20,4,1.6,14,24,100,133,484,480,0,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
107,1,0,2,1,7,0,2,1,1,2,2,1,0,41332,0,2,0.188888889,1,0,0,12,3,0.5,20,14,62,128,400,300,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
108,2,2,2,3,5,0,2,2,3,1,1,1,0,41326,0,2,0.083333333,1,0,0,70,14,0.4,18,12,64,145,500,480,1,Turkish_Van,No_Breed,FALSE,Turkish_Van
109,2,2,1,1,7,0,3,3,2,1,2,1,0,41326,0,2,0.17,1,0,0,31,4,0.7,20,49,34,144,400,275,0,Persian,Siamese,FALSE,Persian
110,2,0,2,6,7,0,2,1,1,1,2,1,0,41401,1,3,0.126190476,1,0,0,84,12,1.7,26,48,47,140,333,366,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
111,1,2,2,1,2,0,3,2,3,3,3,2,0,41401,0,4,0.158441558,1,0,0,59,12,0.1,28,12,97,121,250,334,1,Doberman_Pinscher,No_Breed,FALSE,Doberman_Pinscher
112,1,2,2,5,7,0,2,1,3,3,3,1,0,41326,1,1,0.348333333,1,0,0,92,10,0.3,10,22,42,143,400,225,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
113,1,0,2,1,2,0,2,2,1,1,2,1,8,41327,0,1,0,0,0,0,42,11,-0.2,7,15,86,129,640,640,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
114,1,2,1,1,0,0,2,1,1,1,1,1,0,41330,0,1,0.304761905,1,0,0,66,8,2.2,10,21,40,116,360,480,0,Doberman_Pinscher,No_Breed,FALSE,Doberman_Pinscher
115,2,0,2,4,7,0,1,1,2,2,2,1,0,41401,0,3,0.25,1,0,0,74,8,-0.1,23,27,90,119,345,476,0,Oriental_Short_Hair,No_Breed,FALSE,Oriental_Short_Hair
116,1,0,2,2,0,0,2,1,1,1,2,1,0,41326,0,4,-0.006666667,-1,0,0,66,11,-0.3,37,39,94,163,500,520,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
117,1,0,2,1,2,0,2,2,1,1,2,1,0,41326,0,4,0.143333333,1,0,0,36,5,1.5,38,82,126,165,300,400,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
118,1,0,2,2,5,7,3,1,3,1,3,1,0,41401,0,2,-0.183333333,-1,0.25,1,124,33,1.7,20,49,39,138,360,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
119,2,0,2,1,5,0,2,1,2,1,2,1,0,41326,0,3,0.5625,1,0,0,10,3,1.3,30,26,56,105,366,333,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
120,2,0,1,2,5,0,1,1,2,2,2,1,0,41401,0,1,0.22,1,0,0,50,8,0.8,10,91,97,93,300,400,0,Siamese,Burmese,FALSE,Siamese
121,1,0,2,1,2,0,2,1,1,1,2,1,8,41326,0,9,0.335416667,1,0,0,37,10,1.8,81,38,68,121,400,290,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
122,2,0,1,4,0,0,2,1,3,1,2,1,0,41401,0,3,0.023106061,1,-0.09375,-1,61,11,1.6,27,34,107,141,393,440,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
123,1,2,1,1,0,0,2,2,1,1,1,1,15,41401,0,1,0.306227106,1,0,0,134,22,3.1,10,114,40,105,240,400,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
124,2,2,1,1,2,7,3,1,1,1,2,1,2,41326,0,4,0.317063492,1,0,0,133,26,2.3,40,21,85,141,570,480,0,Tabby,No_Breed,FALSE,Tabby
125,2,0,1,1,2,0,2,1,2,2,2,1,0,41326,0,1,0.108333333,1,0,0,58,8,0.4,10,21,142,101,640,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
126,2,0,2,1,7,0,2,2,2,2,2,1,15,41326,0,4,0.108333333,1,0,0,41,16,1.4,40,47,89,126,420,437,0,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
127,1,1,1,1,2,0,2,1,3,3,1,1,0,41326,0,3,0.433333333,1,0,0,60,9,2,25,35,76,139,354,375,0,Mixed_Breed,Labrador_Retriever,TRUE,Mixed_Breed__Labrador_Retriever
128,1,0,2,7,0,0,1,1,1,1,1,1,0,41326,0,2,0.004166667,1,0,0,116,17,-0.6,20,40,113,131,640,640,1,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
129,1,0,1,1,7,0,2,1,1,1,2,1,0,41326,0,3,0.366666667,1,0,0,17,3,1.1,30,18,76,148,277,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
130,2,2,1,1,7,0,2,1,1,1,1,1,0,41326,0,10,0.043657194,1,0,0,329,45,5.6,97,44,103,133,353,324,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
131,1,2,2,1,2,0,2,2,2,1,2,1,0,41327,0,2,0.375,1,0,0,26,4,0.7,16,83,37,113,315,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
132,1,2,1,2,5,7,2,1,1,1,2,1,0,41401,0,0,0.3,1,0,0,12,2,-0.3,0,-1,-1,-1,-1,-1,1,Beagle,No_Breed,FALSE,Beagle
133,1,2,1,3,0,0,2,2,3,3,2,1,0,41326,0,3,0.131156806,1,0,0,271,44,3.5,30,60,110,151,254,310,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
134,1,0,1,5,0,0,2,2,3,3,2,1,0,41326,0,1,0.375,1,0,0,16,3,1.1,10,112,85,184,297,371,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
135,1,2,2,7,0,0,2,2,1,1,2,1,0,41326,0,5,0.170549242,1,0,0,87,15,2.1,49,14,50,140,360,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
136,1,1,1,1,7,0,1,1,2,2,2,1,5,41326,1,1,0.171428571,1,0,0,68,9,3,7,51,39,171,270,480,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
137,1,0,1,1,2,0,2,1,2,2,2,1,0,41401,0,4,0.1,1,0,0,4,1,0,39,36,48,121,548,421,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
