,PetID,Description_SIZE,Description_VALUABLE_SIZE,Description_SCORE,Object_SIZE,Object_COLOR_H,Object_COLOR_S,Object_COLOR_V,Image_WIDTH,Image_HEIGHT
36,61fa73996,7,1,0.1,20,27,43,143,360,480
37,eabb13cea,-1,-1,-1,30,49,64,121,333,366
38,deff069a2,44,5,2.3,38,99,68,148,349,350
39,4e3640544,16,3,0.9,10,18,46,156,127,225
40,ace21b6b1,176,20,0.9,130,18,97,158,640,442
41,8ee223a17,17,3,0.8,10,106,133,149,640,640
42,9a38d4275,25,4,0.8,10,29,30,161,400,267
43,671ffc570,44,7,1.6,58,80,25,135,334,366
44,aece6e7bf,38,6,0.9,19,63,37,129,203,360
45,c1e816568,68,20,0.6,103,51,64,135,471,480
46,22f6c0ac6,78,10,2.5,118,59,43,141,339,259
47,ea159d8da,48,8,1.7,23,19,90,107,516,480
48,af1035c81,27,5,1.4,30,32,63,120,295,480
49,0d25f084f,90,13,0.8,30,48,54,138,344,344
50,6fecc5cf7,54,12,0.5,130,92,83,140,489,480
51,7fe8ef73d,15,1,0.8,10,107,105,181,266,400
52,015c75c9e,54,9,0.3,30,74,111,142,270,480
53,9609a0b86,185,33,2.3,48,36,91,142,400,300
54,c740abfe1,52,8,1.2,0,-1,-1,-1,-1,-1
55,f6551137d,59,14,1.8,140,25,91,132,360,480
56,8c131db77,119,16,1.8,33,86,107,115,640,600
57,d765ae877,27,5,0.9,20,26,49,134,400,270
58,8ce183889,22,5,1.3,27,75,51,106,127,225
59,9c0ddccc8,13,3,0.2,10,78,62,109,640,640
60,f9df8656a,53,11,0.3,47,35,56,137,400,300
61,f0ef9c777,70,14,2.4,14,42,70,154,500,560
62,3181e5424,94,15,-1.1,20,40,88,175,379,480
63,9883a048e,25,8,0.2,47,50,95,117,359,320
64,b0dec8779,129,33,0.9,200,71,59,142,367,338
65,e8d0907ae,5,2,-0.2,50,50,65,142,339,360
66,e540c1ba5,7,1,0.9,10,135,61,96,400,300
67,4a4db4d32,65,8,2.8,9,23,82,143,400,268
68,98a98311c,62,11,0.9,10,12,60,111,400,300
69,ef14861df,28,5,2.1,30,57,76,145,400,491
70,a9bc357f0,51,6,1.5,10,13,190,188,480,480
71,aaf4a1439,3,2,0,10,35,98,127,270,480
72,1e62e6022,43,12,0.9,43,55,50,121,380,320
73,4e797dcdd,37,4,-0.1,28,41,59,128,640,640
74,45d2ddcb8,267,72,2.6,48,91,85,135,300,400
75,259b10a3e,30,4,1.2,10,41,84,101,225,399
76,d2490c888,144,25,1.6,20,20,77,133,283,300
77,2c93c0c11,25,3,0.7,25,51,79,136,453,480
78,35593da00,2,1,0,43,16,110,113,566,384
79,4cc70e613,40,5,-0.1,10,52,70,107,640,360
80,ff125cf8d,36,7,0.9,10,71,92,125,400,261
81,c30dd6e9a,48,5,1.6,20,34,130,132,226,400
82,be9474b85,36,8,1.2,10,37,77,134,360,480
83,815f4cc08,18,4,1.4,29,27,61,152,516,400
84,ec5069cf6,21,5,0.8,39,25,67,100,316,375
85,867308404,20,3,0.9,28,68,99,156,300,400
86,e9df3ead7,28,2,1,19,63,77,138,360,480
87,258667857,57,15,0.6,38,17,62,125,360,480
88,fd3172797,283,71,0.8,93,50,120,146,375,318
89,8df0bb3b3,228,41,3.3,161,30,77,133,254,305
90,3d0752cd9,119,28,0.8,50,71,144,183,400,380
91,22051ab84,193,26,0.9,28,18,99,173,640,543
92,573b3ec3d,31,6,0.4,0,-1,-1,-1,-1,-1
93,370fe2afb,-1,-1,-1,118,70,70,160,392,313
94,dd308e46b,4,3,-0.2,10,31,40,125,360,480
95,6a763a055,47,11,0.2,19,54,47,119,400,299
96,5e4154870,-1,-1,-1,30,82,120,137,400,301
97,a44d42407,33,9,1.2,30,22,59,108,310,355
98,cc8401c02,16,3,0,25,23,91,129,583,483
99,0f24b6cd6,3,1,0.1,10,40,26,115,400,300
100,49bb70e36,43,10,0.4,9,49,35,134,400,300
101,43ddb2eb4,84,14,2.7,20,93,40,112,400,346
102,dae92dd61,44,8,2.4,30,17,59,110,453,533
103,a6ac8884b,2,1,0,8,11,102,126,400,225
104,60ce9e319,110,20,2.9,70,18,105,159,640,594
105,5247209aa,4,2,0.9,20,11,157,152,400,268
106,19b1f4263,57,16,0.3,25,38,59,134,400,300
107,d50e11ec5,23,4,1.2,17,16,79,144,358,480
108,4407e70f3,22,4,2.3,20,113,67,135,377,221
109,27b6e5aca,31,3,1,37,35,95,123,322,480
110,80ebea85c,108,15,0.3,50,77,53,142,307,367
111,1bf1f95ef,-1,-1,-1,10,95,55,102,360,480
112,cdab8ba8e,321,59,5.2,43,52,60,136,400,300
113,b84dad49f,176,25,-0.2,27,35,79,101,270,480
114,f0a2122d4,36,8,0.9,38,28,112,144,225,300
115,1104fe6bb,82,10,2.9,20,64,36,121,640,360
116,46d88ca3e,134,19,2.2,38,46,96,147,640,479
117,b99d5d532,11,5,0.9,27,95,49,123,422,479
118,2b6d08cba,17,4,1.3,0,-1,-1,-1,-1,-1
119,b9429dc85,-1,-1,-1,39,77,56,95,570,480
120,c61f6507e,60,13,1.5,29,95,39,134,341,283
121,e464fcd4b,286,49,6.4,32,44,114,120,375,325
122,86379f12f,208,44,3.1,10,54,59,120,271,479
123,55fcdea2f,51,9,-0.2,26,53,75,125,400,300
124,392d3346e,111,17,1.3,35,68,92,147,640,480
125,33db028cb,31,6,1.2,9,65,50,148,300,400
126,35c0c3aca,14,4,1.3,50,64,62,143,333,366
127,d080818c3,81,16,0.8,28,11,161,109,225,400
128,6f0cb510a,53,8,1.2,29,47,109,133,371,400
129,61ac3c78c,6,0,0.9,10,42,54,128,299,400
130,368b2adc1,125,21,4.1,50,41,25,147,602,586
131,2e4c1faf7,-1,-1,-1,30,98,35,142,366,400
132,a85a1c8c3,27,7,1.9,29,33,131,122,640,480
133,25c7d6c3b,40,6,2.6,80,58,60,132,398,312
134,0b819602d,14,4,0.9,20,31,56,128,270,480
135,4c594983d,205,29,2.1,42,43,51,124,472,544
136,05f99fc56,42,9,2,35,35,76,86,639,423
137,1dfadc371,72,11,2.7,10,68,107,104,203,360
138,6d9b202c9,57,10,0.1,72,69,56,127,380,320
139,54791dc58,31,6,1.4,30,87,94,119,355,332
140,b36616178,3,2,0.1,68,68,76,146,385,314
141,2ac4dd8c2,195,39,2.2,48,14,96,124,360,480
142,29f54c6ff,206,36,4,40,45,47,116,400,299
143,48b418070,19,6,1,18,23,59,140,300,400
144,c7eac7b01,178,34,6.2,45,25,109,119,380,320
145,8e0d65b3e,13,4,0.2,10,16,149,94,400,300
146,9a34ddc8b,91,17,2.5,14,44,62,132,300,400
147,ff9f62e79,84,20,1.3,30,15,71,142,400,300
148,4a6ee5d02,-1,-1,-1,19,29,58,191,640,480
149,474bccd75,20,4,1.6,14,24,100,133,484,480
150,e4abb93bf,12,3,0.5,20,14,62,128,400,300
151,120805f93,70,14,0.4,18,12,64,145,500,480
152,2acf3fdce,31,4,0.7,20,49,34,144,400,275
153,e1ecc1b26,84,12,1.7,26,48,47,140,333,366
154,a8cdba660,40,10,0.3,100,63,52,128,315,363
155,9bcd62ef1,59,12,0.1,28,12,97,121,250,334
156,c3f2f166d,92,10,0.3,10,22,42,143,400,225
157,687e9c33c,42,11,-0.2,7,15,86,129,640,640
158,bb5f471dd,66,8,2.2,10,21,40,116,360,480
159,0aaf6976a,379,67,8.7,127,27,66,91,400,300
160,45600eaab,74,8,-0.1,23,27,90,119,345,476
161,dcba09ff1,28,6,0.8,49,38,51,123,334,359
162,d7f938acd,66,11,-0.3,37,39,94,163,500,520
163,ea11b6f12,79,12,0.7,30,15,82,152,311,355
164,3332eb59c,28,4,1.1,50,27,89,161,400,300
165,b3e19ff68,113,28,2.2,0,-1,-1,-1,-1,-1
166,594e3dc3f,49,10,-0.2,10,31,55,141,296,480
167,fbb112b7e,36,5,1.5,38,82,126,165,300,400
168,d14d62508,124,33,1.7,20,49,39,138,360,480
169,5de61cf6b,10,3,1.3,30,26,56,105,366,333
170,b9590d4de,50,8,0.8,10,91,97,93,300,400
171,747c82f83,37,10,1.8,81,38,68,121,400,290
172,3004c3401,61,11,1.6,27,34,107,141,393,440
173,c737c30d7,134,22,3.1,10,114,40,105,240,400
174,03b0568b3,29,7,-0.6,50,74,67,134,399,296
175,987baa1c7,133,26,2.3,40,21,85,141,570,480
176,70b3d1f9c,58,8,0.4,10,21,142,101,640,480
177,27456ec0f,41,16,1.4,40,47,89,126,420,437
178,5c28a8cec,60,9,2,25,35,76,139,354,375
179,2c8ae4c7e,116,17,-0.6,20,40,113,131,640,640
180,cd7bea671,17,3,1.1,30,18,76,148,277,480
181,7bda94ad0,329,45,5.6,97,44,103,133,353,324
182,ab4b4681b,4,1,0.8,35,18,113,133,500,480
183,aa189a931,26,4,0.7,16,83,37,113,315,480
184,d0bc14f47,24,7,0.1,20,15,108,122,640,360
185,eab8c8c03,12,2,-0.3,0,-1,-1,-1,-1,-1
186,3b4a987ba,271,44,3.5,30,60,110,151,254,310
187,1bbb46822,16,3,1.1,10,112,85,184,297,371
188,5c546c236,23,3,0.9,10,11,66,168,400,267
189,702bee848,87,15,2.1,49,14,50,140,360,480
190,66757255c,68,9,3,7,51,39,171,270,480
191,0b0f596b5,4,1,0,39,36,48,121,548,421
192,938bcf142,49,13,3.1,20,16,121,150,640,480
193,bea72e6c5,87,16,1.9,220,35,93,142,320,480
194,52e555a3a,34,3,1.4,30,14,150,125,366,333
195,3998bcfec,16,4,0.3,10,59,105,153,640,505
196,e62e5aa26,137,18,1.7,82,39,73,160,369,426
197,933e0a3e8,127,22,2.8,37,106,69,129,400,300
198,1eb8a0278,49,5,0.8,30,43,46,125,218,225
199,d5df16a32,162,32,4.1,50,24,55,179,361,393
200,06296e4e2,47,9,2,60,80,78,156,593,444
201,207d61997,31,9,0.1,80,28,139,137,337,362
202,38a81271c,113,14,2,50,34,90,115,320,240
203,65d10be4d,62,15,1.5,30,37,49,131,308,400
204,c7b468b32,1,0,0,10,59,163,127,360,480
205,6df350974,243,38,8.6,83,71,82,135,484,480
206,249112486,41,8,0,9,50,47,145,342,400
207,8f85e69ee,54,8,3,75,35,89,132,406,480
208,b243b8e93,146,31,-1.9,36,63,103,169,400,400
209,89523a695,102,21,1.7,20,14,61,123,225,400
210,4f0eacbdd,3,1,0,80,26,38,147,351,341
211,b5fcc079e,197,37,2.5,46,47,77,130,300,400
212,53976b229,133,22,6.3,53,47,99,140,299,400
213,f4ed1a08e,119,20,3.9,19,31,143,158,300,400
214,2f3227612,-1,-1,-1,43,95,56,127,380,320
215,ba66a7a82,27,7,0.6,10,15,87,137,640,480
216,d4e83ee5b,51,13,0.6,71,30,107,117,380,400
217,00a1f270a,1,1,0.8,49,17,67,149,640,360
218,74e316be1,21,4,1,19,21,77,132,322,480
219,039509c40,74,15,0.7,35,53,70,125,347,350
220,eeb60466e,124,22,-0.7,46,30,51,113,528,576
221,c6cdbebfa,24,7,0.9,27,43,65,124,333,366
222,82137b39f,103,27,2.4,26,55,50,134,522,448
223,28b64c198,37,4,1,50,26,28,147,528,576
224,f70251906,103,22,0.2,41,15,94,157,398,480
225,9d76ed82f,-1,-1,-1,28,41,54,123,639,466
226,e83f846eb,12,3,0.6,51,11,84,143,333,366
227,60b9421cc,90,25,2.8,10,36,38,110,640,640
228,72a7cb335,54,7,-0.5,63,98,141,157,428,428
229,0bd4aed6b,2,1,0.8,0,-1,-1,-1,-1,-1
230,ae03f99f2,162,37,1.8,43,73,26,128,290,340
231,5a1010bca,31,7,2,20,79,41,117,203,360
232,6a5c652b5,25,7,0.5,9,28,55,120,270,480
233,040771e8e,87,16,1.3,0,-1,-1,-1,-1,-1
234,706a9cd5c,38,6,0.9,8,44,124,130,298,400
235,62550cf78,6,0,-0.2,29,25,87,168,360,480
236,701c5afba,3,0,0.1,9,65,152,114,300,400
237,d0fcfeb0f,18,3,1.8,50,10,111,181,266,400
238,7bce76c66,80,11,1.6,30,34,79,117,400,288
239,3b0b88ac2,2,1,0,30,15,127,145,270,480
240,a88d34ee3,40,11,0.9,17,32,79,113,400,300
241,061378b30,13,3,1.6,19,29,91,150,505,480
242,fc1457818,128,14,2.6,46,16,78,129,360,480
243,a27f0cc49,38,6,2.4,36,41,37,139,360,480
244,728c78b39,103,10,2.1,30,86,51,121,400,332
245,6c054c4ef,14,2,0.6,9,79,30,123,640,480
246,d5b9e0322,42,12,1.7,77,41,67,125,450,421
247,a2dc697f6,54,13,0.6,114,94,61,130,500,480
248,b04b200fa,25,5,0,36,81,27,125,400,300
249,be7b65c23,61,11,1.6,86,32,62,141,540,475
250,e37f4aa07,-1,-1,-1,10,12,89,156,400,300
251,7de2f688b,44,8,1.5,36,49,70,101,360,480
252,e7020fa9a,2,1,0,40,96,85,125,640,360
253,752491221,55,12,2.4,27,30,113,129,400,266
254,c2346525a,17,4,1,20,40,102,142,400,300
255,bc7361016,7,3,0.8,40,18,55,106,195,225
256,66201cf73,158,23,1.8,30,14,53,154,333,330
257,b7359384d,64,12,1.2,40,58,58,126,640,480
258,be23e42d0,62,9,1.4,30,20,75,130,338,310
259,1c59cecac,4,2,0.1,73,24,84,161,350,350
260,e7e1904f4,5,1,0.8,24,20,106,119,533,479
261,2e3bfe5a9,63,9,1.6,90,30,66,131,400,300
262,13f07ee9a,21,4,1.5,20,9,41,128,352,231
263,d78d1dec0,37,6,0.5,38,78,56,114,360,480
264,821bd9373,-1,-1,-1,10,19,43,132,400,300
265,720db9cb3,8,2,0.8,10,35,67,175,360,480
266,0443d6f82,106,23,-0.8,47,38,56,125,380,320
267,67efce2e0,135,25,1.6,0,-1,-1,-1,-1,-1
268,fa1a30192,13,3,-0.1,20,84,56,119,350,350
269,c675f3b10,100,14,0.1,70,34,149,132,314,385
270,6e3d78857,4,0,0,37,27,49,133,400,300
271,d4d6997e3,15,2,0.4,20,58,103,153,300,400
272,d13d93f69,90,19,-0.4,34,21,55,147,356,268
273,d8715d47e,381,64,4,60,28,119,163,377,283
274,c15b3c9f1,13,4,0.5,10,56,60,101,640,640
275,3bef75882,167,38,-1.9,16,22,56,104,290,400
276,60bf93971,24,6,0.4,25,34,87,116,300,400
277,e9eeadf82,26,4,0.2,19,15,102,112,291,480
278,a4530b1d0,21,1,1.4,10,8,66,141,399,252
279,da6bb3100,28,5,0.7,123,37,87,153,376,310
280,79669f807,56,10,1.5,10,16,131,207,203,360
281,3af2b1473,80,12,2.4,10,15,110,183,270,480
282,0f0f81a37,36,7,1.2,30,18,173,113,640,427
283,b8976d821,42,10,0.1,18,50,52,129,640,360
284,9eb98f34c,23,3,0,85,33,79,137,344,355
285,e317b2a73,94,11,1.2,49,16,106,112,400,300
286,ebd78e1d4,272,56,8.5,29,62,130,116,333,366
287,0822c54d5,108,16,-0.1,29,83,58,97,366,332
288,4036e0e12,83,15,3.3,77,22,90,150,349,344
289,f34d62be0,171,35,6,98,22,64,136,390,308
290,2a7b5edbf,52,13,-0.7,30,92,156,164,400,300
291,18042e473,-1,-1,-1,30,37,90,139,400,287
292,dc99804de,52,8,1.5,40,50,66,81,399,203
293,0fb490c9b,76,14,-0.1,30,28,90,138,366,333
294,284be445a,22,4,0.6,10,34,66,169,400,312
295,a831df76b,-1,-1,-1,40,44,49,107,350,350
296,145883970,26,5,0.9,52,15,69,122,546,480
297,e3d9dc96d,5,1,0,9,11,80,98,270,480
298,9a64e72cf,151,26,5.2,60,34,37,129,384,316
299,6e643eba1,220,36,-1.3,48,37,80,152,300,400
300,a1b3dafc9,19,4,1.7,9,14,127,147,640,448
301,fe88a5777,17,3,1.8,50,44,106,107,527,512
302,bda2d149e,98,17,3.8,78,38,116,147,363,322
303,6cb5381cb,12,3,0,18,16,106,121,203,360
304,366a03818,40,8,1.3,0,-1,-1,-1,-1,-1
305,732d546b4,-1,-1,-1,35,15,84,134,375,325
306,a8a8f95f6,45,7,2.5,33,37,94,133,270,480
307,0b4bb9906,39,5,0.9,48,23,46,153,360,480
308,5eeb10b7a,29,7,0.3,39,40,63,147,640,393
309,f03b04b1e,3,0,0.8,9,11,65,123,400,299
310,a672ea96d,8,1,0.2,10,18,54,161,400,268
311,4df43033d,54,7,5.55E-17,68,46,89,114,560,480
312,d25638f81,94,14,1.6,40,17,137,147,500,480
313,aafb75ee8,9,3,0.8,20,45,32,127,350,350
314,e9cf01a21,49,9,1.5,20,35,82,141,360,480
315,1c74d62ed,11,2,0.9,14,27,79,115,350,350
316,2148c2ef6,237,34,5.3,40,53,49,145,294,400
317,f0bb05fc7,-1,-1,-1,35,18,33,150,400,300
318,479500716,49,7,0.9,20,15,142,109,270,480
319,1afdf61ec,24,9,0,18,66,36,147,300,400
320,b4d0c60b6,189,27,-2.1,201,20,84,117,382,277
321,110d4487e,94,17,1.5,9,86,86,162,209,371
322,27cede3cf,2,1,0.5,9,16,119,132,384,384
323,99dcd9020,3,1,0,38,73,33,132,400,300
324,4cb8fe436,66,9,-0.4,20,37,80,88,640,385
325,a13ed5e9d,3,2,0,10,73,69,97,270,480
326,7adc5209e,92,13,1.7,47,29,114,150,400,317
327,0a8ee7520,79,17,0.6,40,47,111,116,337,480
328,82aa52460,6,1,1.2,10,28,47,141,290,400
329,4c9f111f1,48,8,1.8,19,28,44,160,360,480
330,eb6c692dc,8,1,0.9,46,37,80,159,406,471
331,d096658bb,30,7,-0.4,72,63,75,119,530,403
332,109c4f5a8,46,9,2,70,49,84,130,418,468
333,f8b702182,25,4,1.9,10,56,33,127,640,640
334,eb652ec07,4,2,0.1,9,9,48,127,371,480
335,026ebf139,40,5,-0.1,10,23,100,143,270,480
336,6c7c5555f,103,19,0.9,104,78,51,120,352,317
337,1a9733afb,71,10,0.3,20,61,69,111,280,420
338,1a54d4e92,50,8,2.8,30,17,126,157,546,480
339,8526200d3,3,2,0,30,40,57,135,360,480
340,8df39788a,24,6,2.4,51,15,57,133,390,426
341,45543730,30,4,1.5,37,22,34,150,570,480
342,bf50b399e,7,3,1,10,61,114,82,400,300
343,a05289ebd,15,6,1.1,44,20,63,132,360,340
344,dee525fcd,114,27,1,73,62,109,151,640,480
345,ceed27182,39,7,-0.2,30,13,110,138,360,480
346,c0a9578bb,56,8,2.9,48,40,52,122,377,360
347,66dda45c4,59,4,1.5,28,34,33,132,400,300
348,9c87d70e5,51,10,1.8,20,26,112,120,640,500
349,4574e3de4,4,0,0.9,49,39,57,97,400,286
350,794a45833,6,1,0,10,40,88,149,360,480
351,800a7c025,50,8,1.2,10,75,100,138,270,480
352,6c75b9082,42,7,2.5,40,51,80,160,289,480
353,6dbc5c968,66,12,0.4,83,43,58,133,283,350
354,4dad8252f,5,1,0,10,13,75,96,640,480
355,3f9f466d1,15,4,0,67,23,119,129,372,394
356,8bf9a6b80,29,6,1.4,10,13,74,145,640,480
357,c43ecb3e1,61,10,1.4,97,55,43,129,400,300
358,3a3ae56f1,6,19,0.6,26,60,60,126,393,440
359,172332f53,34,6,2.8,10,30,64,125,640,640
360,01f7fdb78,21,3,0.7,0,-1,-1,-1,-1,-1
361,9b721dcaf,128,22,4.4,48,25,65,154,584,544
362,e20655a10,115,14,2.3,110,20,78,143,300,379
363,9718baba0,103,20,-0.1,116,22,58,128,350,352
364,cdd7aee45,155,22,-1.3,45,70,69,151,254,370
365,86550c5dc,12,3,1.4,25,26,37,120,360,480
366,ba311fc1a,2,1,0,39,20,118,142,455,420
367,bb05c1ce8,31,8,-0.7,0,-1,-1,-1,-1,-1
368,4060caeb1,3,2,0.1,30,25,107,179,366,333
369,e54ee8e55,67,11,1.7,30,20,105,112,400,300
370,1.66E+26,36,7,0.1,40,19,74,77,400,300
371,5a2c8a05f,24,7,0.9,10,26,40,104,462,351
372,d3d47c67d,19,3,0.7,10,9,55,190,400,300
373,8ba0c6894,44,5,2.3,138,60,50,111,379,320
374,71cc0a02e,71,8,-0.3,30,32,36,117,400,300
375,75bbaa3fa,3,2,0,10,19,147,131,270,480
376,ca587cb42,158,22,0.8,37,47,57,104,570,480
377,b4eb7f4df,7,3,0,10,21,55,140,360,480
378,fd32ce3ef,11,1,1.7,10,16,147,120,360,480
379,a15d8c8a8,12,4,0.2,10,66,68,165,640,480
380,34cedf9bb,144,19,3,49,41,52,152,400,300
381,ab599a6ac,49,9,-0.4,67,32,73,163,244,411
382,81da09ea9,153,26,0.9,50,40,89,110,400,300
383,e736ab042,38,7,-0.2,0,-1,-1,-1,-1,-1
384,81a815ef5,21,3,0.3,10,44,96,145,360,480
385,0f122f712,2,1,0,10,14,98,115,400,300
386,58a10d0cd,168,30,0.3,9,14,66,99,203,360
387,3b1976326,23,3,0.2,60,42,87,139,366,333
388,30ea81bac,3,0,0.2,22,73,28,141,203,360
389,35907f15e,16,5,2,30,54,69,103,586,571
390,bfb33b149,56,11,0.5,23,37,79,140,453,480
391,375905770,33,7,0,24,22,85,151,345,366
392,9ec161c16,60,11,-0.1,143,72,83,131,343,355
393,19f38a3f0,54,12,2.2,9,105,47,101,225,300
394,e2f1f5377,3,2,0.1,18,42,32,109,400,300
395,0c17e1f32,40,6,-0.1,20,25,81,105,640,384
396,b912b1114,561,100,4.7,44,15,66,154,359,327
397,bd9e9d9e2,2,1,0,10,19,121,124,225,400
398,241dd214b,23,6,0.8,10,21,38,147,400,300
399,84874570,51,7,0.4,20,104,48,97,300,400
400,c1df421c4,-1,-1,-1,27,36,54,143,400,300
401,ab9f715ad,128,17,2.8,37,45,85,113,362,449
402,3cc84c2f8,55,9,1.1,46,64,101,136,299,400
403,ee5583527,19,3,1.3,9,62,143,101,640,502
404,9a770c49a,248,34,3.7,6,56,82,139,291,400
405,e07812482,27,6,0.6,10,17,82,128,400,266
406,997db5df5,100,20,0.5,37,19,87,130,430,480
407,301e16ab9,4,1,0.8,35,21,117,143,377,360
408,8705145ca,71,12,-0.2,91,47,87,157,360,332
409,6e3aad5f3,77,13,0.9,80,37,58,89,303,282
410,75a11e0f8,10,1,0.6,30,36,127,93,360,480
411,219a1308d,-1,-1,-1,30,82,37,129,400,277
412,915173d4d,30,9,1.6,20,82,60,111,640,359
413,c390140c3,39,8,3.2,40,20,79,114,462,473
414,81d97fa9f,22,4,1,20,23,89,145,356,480
415,78b07d4e0,13,4,-0.5,10,42,70,112,270,480
416,6cd1cac68,8,1,-0.1,20,14,90,141,640,480
417,fb3bd80d1,105,27,1.7,75,34,70,122,443,428
418,51372ce91,62,8,0.8,10,17,104,179,400,300
419,1a1283447,215,34,3.9,101,20,114,102,430,480
420,4831c683c,123,17,0.9,48,105,39,145,356,480
421,90592e40c,56,10,1.5,8,48,46,123,480,270
422,e4e5ea1d2,65,17,0.5,41,98,84,120,400,300
423,e7a74fca8,2,1,0,33,17,38,141,362,450
424,a5595a935,20,7,0.2,10,12,118,89,400,299
425,c7575df7b,136,24,0.9,37,23,103,97,400,300
426,e81c6347b,94,13,2.1,5,87,62,132,356,480
427,7ee058c3d,-1,-1,-1,41,56,92,146,328,380
428,4d999ee22,26,4,-0.7,10,16,62,185,360,480
429,0637293ec,153,26,4.3,29,11,77,153,546,586
430,7ead795bb,113,22,1,20,71,123,146,493,560
431,691a8b7ea,30,5,-0.3,42,40,85,133,440,456
432,fcd21f3ec,31,3,-0.6,49,28,100,149,360,340
433,9c31047a7,58,9,0.2,14,57,89,130,400,299
434,76d5726c4,84,15,3.7,40,23,90,98,640,360
435,03d59fc21,32,6,0.8,30,35,56,122,400,301
436,1a9e7158e,1,0,0.1,137,50,112,93,320,480
437,86afe98e6,76,15,1.3,40,30,70,117,570,480
438,0eba8b0ad,44,8,0.3,10,42,36,147,360,480
439,d38bcdf49,35,6,1.9,9,10,104,107,639,360
440,85a79f281,14,3,1.1,10,25,43,108,640,640
441,91c2159dd,101,20,0.5,29,64,110,151,380,418
442,91d6a2898,14,3,1.9,20,15,93,153,400,300
443,cfddf0c47,8,3,0.6,20,61,61,113,640,480
444,b102f525b,121,21,-0.5,30,52,83,134,440,480
445,dc1c9f8d5,55,8,2.6,50,45,59,107,416,512
446,c96f9d3a8,195,25,1.4,92,20,84,150,334,372
447,072ae6d9e,40,10,0.9,14,43,151,112,455,560
448,fa94b21d1,129,26,2,49,35,114,161,340,360
449,b5df81f99,47,6,2.1,6,56,81,161,300,400
450,2c24655fe,4,1,0,77,24,130,120,492,408
451,c702e00d2,-1,-1,-1,20,19,86,162,400,300
452,95d2a0bdf,9,2,0.9,10,61,70,163,300,400
453,c8208c3c9,51,6,1.1,38,14,187,118,233,267
454,9a9f6c753,165,30,3.1,33,19,94,155,325,375
455,92b89a666,3,2,0,28,52,79,150,270,480
456,6819ce556,90,19,2.2,20,30,76,126,350,350
457,17bdf954a,26,5,0.1,27,22,53,141,360,480
458,2bf834f39,41,3,1.6,70,43,113,144,357,342
459,53cd96ef8,16,4,0.8,10,98,99,135,400,400
460,da327c74b,7,2,0.3,46,27,107,114,270,480
461,10a6c97d5,40,7,2,50,23,56,125,639,507
462,f8d831236,5,1,0.9,10,103,76,114,300,400
463,75a4a14ac,10,2,0.8,60,34,68,137,300,400
464,df39a5468,40,9,-0.2,37,20,79,151,300,400
465,37f127385,31,4,0.4,18,33,118,136,400,300
466,878e36da4,8,2,0.9,25,13,111,143,333,366
467,1ffe668f9,96,12,2.7,103,45,59,124,640,470
468,9a2f44ddf,67,13,1.3,20,58,45,112,319,400
469,54e2508de,36,7,1.3,10,73,88,109,300,400
470,432904c5d,4,0,0.9,0,-1,-1,-1,-1,-1
