,Type,Age,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,State,VideoAmt,PhotoAmt,DesSem,DesSemCat,NameSem,NameSemCat,Description_SIZE,Description_VALUABLE_SIZE,Description_SCORE,Object_SIZE,Object_COLOR_H,Object_COLOR_S,Object_COLOR_V,Image_WIDTH,Image_HEIGHT,AdoptionSpeed,Mixed,BreedName,BreedNum
98,2,2,1,1,0,0,2,2,2,2,2,1,0,41326,0,1,0.155492424,1,0,0,72,11,2.7,10,68,107,104,203,360,1,1,Mixed_Breed,0
99,1,0,2,1,2,7,2,2,1,1,1,1,0,41326,0,10,0.227777778,1,0,0,57,10,0.1,72,69,56,127,380,320,1,1,Mixed_Breed__Bluetick_Coonhound,23
100,1,0,1,1,2,0,2,1,2,3,2,1,0,41326,0,3,0.45,1,0,0,31,6,1.4,30,87,94,119,355,332,0,1,Mixed_Breed,0
101,2,1,2,1,4,7,2,1,1,1,2,1,0,41326,0,7,0,0,0,0,3,2,0.1,68,68,76,146,385,314,0,0,Calico,24
102,2,0,1,4,0,0,2,3,2,1,2,1,10,41401,0,5,0.183645833,1,0,0,195,39,2.2,48,14,96,124,360,480,1,1,Mixed_Breed,0
103,1,2,2,1,7,0,2,1,1,1,1,1,0,41401,0,2,0.112121212,1,0,0,19,6,1,18,23,59,140,300,400,1,0,American_Staffordshire_Terrier,25
104,1,2,2,2,0,0,2,1,1,1,1,1,0,41326,0,2,0.288611111,1,0,0,91,17,2.5,14,44,62,132,300,400,0,1,Mixed_Breed,0
105,2,2,2,1,2,7,1,1,3,3,1,1,0,41326,0,3,0.25625,1,0,0,84,20,1.3,30,15,71,142,400,300,1,1,Mixed_Breed,0
106,1,2,1,1,2,0,2,2,1,1,1,1,0,41326,0,2,0.755,1,0,0,20,4,1.6,14,24,100,133,484,480,0,1,Mixed_Breed,0
107,1,0,2,1,7,0,2,1,1,2,2,1,0,41332,0,2,0.188888889,1,0,0,12,3,0.5,20,14,62,128,400,300,1,1,Mixed_Breed,0
108,2,2,2,3,5,0,2,2,3,1,1,1,0,41326,0,2,0.083333333,1,0,0,70,14,0.4,18,12,64,145,500,480,1,0,Turkish_Van,26
109,2,2,1,1,7,0,3,3,2,1,2,1,0,41326,0,2,0.17,1,0,0,31,4,0.7,20,49,34,144,400,275,0,0,Persian,4
110,2,0,2,6,7,0,2,1,1,1,2,1,0,41401,1,3,0.126190476,1,0,0,84,12,1.7,26,48,47,140,333,366,0,1,Mixed_Breed,0
111,1,2,2,1,2,0,3,2,3,3,3,2,0,41401,0,4,0.158441558,1,0,0,59,12,0.1,28,12,97,121,250,334,1,0,Doberman_Pinscher,27
112,1,2,2,5,7,0,2,1,3,3,3,1,0,41326,1,1,0.348333333,1,0,0,92,10,0.3,10,22,42,143,400,225,1,1,Mixed_Breed,0
113,1,0,2,1,2,0,2,2,1,1,2,1,8,41327,0,1,0,0,0,0,42,11,-0.2,7,15,86,129,640,640,1,1,Mixed_Breed,0
114,1,2,1,1,0,0,2,1,1,1,1,1,0,41330,0,1,0.304761905,1,0,0,66,8,2.2,10,21,40,116,360,480,0,0,Doberman_Pinscher,27
115,2,0,2,4,7,0,1,1,2,2,2,1,0,41401,0,3,0.25,1,0,0,74,8,-0.1,23,27,90,119,345,476,0,0,Oriental_Short_Hair,28
116,1,0,2,2,0,0,2,1,1,1,2,1,0,41326,0,4,-0.006666667,-1,0,0,66,11,-0.3,37,39,94,163,500,520,0,1,Mixed_Breed,0
117,1,0,2,1,2,0,2,2,1,1,2,1,0,41326,0,4,0.143333333,1,0,0,36,5,1.5,38,82,126,165,300,400,1,1,Mixed_Breed,0
118,1,0,2,2,5,7,3,1,3,1,3,1,0,41401,0,2,-0.183333333,-1,0.25,1,124,33,1.7,20,49,39,138,360,480,0,1,Mixed_Breed,0
119,2,0,2,1,5,0,2,1,2,1,2,1,0,41326,0,3,0.5625,1,0,0,10,3,1.3,30,26,56,105,366,333,0,1,Mixed_Breed,0
120,2,0,1,2,5,0,1,1,2,2,2,1,0,41401,0,1,0.22,1,0,0,50,8,0.8,10,91,97,93,300,400,0,0,Siamese,29
121,1,0,2,1,2,0,2,1,1,1,2,1,8,41326,0,9,0.335416667,1,0,0,37,10,1.8,81,38,68,121,400,290,0,1,Mixed_Breed,0
122,2,0,1,4,0,0,2,1,3,1,2,1,0,41401,0,3,0.023106061,1,-0.09375,-1,61,11,1.6,27,34,107,141,393,440,1,1,Mixed_Breed,0
123,1,2,1,1,0,0,2,2,1,1,1,1,15,41401,0,1,0.306227106,1,0,0,134,22,3.1,10,114,40,105,240,400,1,1,Mixed_Breed,0
124,2,2,1,1,2,7,3,1,1,1,2,1,2,41326,0,4,0.317063492,1,0,0,133,26,2.3,40,21,85,141,570,480,0,0,Tabby,1
125,2,0,1,1,2,0,2,1,2,2,2,1,0,41326,0,1,0.108333333,1,0,0,58,8,0.4,10,21,142,101,640,480,0,1,Mixed_Breed,0
126,2,0,2,1,7,0,2,2,2,2,2,1,15,41326,0,4,0.108333333,1,0,0,41,16,1.4,40,47,89,126,420,437,0,1,Mixed_Breed,0
127,1,1,1,1,2,0,2,1,3,3,1,1,0,41326,0,3,0.433333333,1,0,0,60,9,2,25,35,76,139,354,375,0,1,Mixed_Breed__Labrador_Retriever,11
128,1,0,2,7,0,0,1,1,1,1,1,1,0,41326,0,2,0.004166667,1,0,0,116,17,-0.6,20,40,113,131,640,640,1,1,Mixed_Breed,0
129,1,0,1,1,7,0,2,1,1,1,2,1,0,41326,0,3,0.366666667,1,0,0,17,3,1.1,30,18,76,148,277,480,1,1,Mixed_Breed,0
130,2,2,1,1,7,0,2,1,1,1,1,1,0,41326,0,10,0.043657194,1,0,0,329,45,5.6,97,44,103,133,353,324,1,1,Mixed_Breed,0
131,1,2,2,1,2,0,2,2,2,1,2,1,0,41327,0,2,0.375,1,0,0,26,4,0.7,16,83,37,113,315,480,1,1,Mixed_Breed,0
132,1,2,1,2,5,7,2,1,1,1,2,1,0,41401,0,0,0.3,1,0,0,12,2,-0.3,0,-1,-1,-1,-1,-1,1,0,Beagle,30
133,1,2,1,3,0,0,2,2,3,3,2,1,0,41326,0,3,0.131156806,1,0,0,271,44,3.5,30,60,110,151,254,310,1,1,Mixed_Breed,0
134,1,0,1,5,0,0,2,2,3,3,2,1,0,41326,0,1,0.375,1,0,0,16,3,1.1,10,112,85,184,297,371,1,1,Mixed_Breed,0
135,1,2,2,7,0,0,2,2,1,1,2,1,0,41326,0,5,0.170549242,1,0,0,87,15,2.1,49,14,50,140,360,480,0,1,Mixed_Breed,0
136,1,1,1,1,7,0,1,1,2,2,2,1,5,41326,1,1,0.171428571,1,0,0,68,9,3,7,51,39,171,270,480,1,1,Mixed_Breed,0
137,1,0,1,1,2,0,2,1,2,2,2,1,0,41401,0,4,0.1,1,0,0,4,1,0,39,36,48,121,548,421,0,1,Mixed_Breed,0
138,1,2,2,2,7,0,2,1,1,1,1,1,0,41326,0,24,0.064930556,1,0,0,87,16,1.9,220,35,93,142,320,480,1,1,Mixed_Breed,0
139,1,0,2,2,0,0,2,3,2,2,2,1,0,41326,0,3,0.5,1,0.5,1,34,3,1.4,30,14,150,125,366,333,0,1,Mixed_Breed,0
140,1,0,2,2,0,0,2,1,2,2,2,1,0,41332,0,1,0.5,1,0,0,16,4,0.3,10,59,105,153,640,505,0,1,Mixed_Breed,0
141,2,0,1,1,7,0,1,1,1,2,3,1,0,41401,0,4,0.207777778,1,-0.166666667,-1,127,22,2.8,37,106,69,129,400,300,1,1,Mixed_Breed,0
142,1,2,2,5,7,0,1,1,1,1,3,1,0,41401,0,3,0.206875,1,0,0,49,5,0.8,30,43,46,125,218,225,0,0,Shih_Tzu,8
143,2,0,1,3,5,7,2,1,1,1,2,1,0,41326,0,5,0.398214286,1,0.333333333,1,162,32,4.1,50,24,55,179,361,393,0,1,Mixed_Breed,0
144,2,0,1,5,0,0,1,2,3,3,3,1,0,41327,0,6,0.247395833,1,0,0,47,9,2,60,80,78,156,593,444,1,1,Mixed_Breed,0
145,1,1,1,2,0,0,2,1,1,1,3,1,0,41326,0,8,0.15,1,0,0,31,9,0.1,80,28,139,137,337,362,0,0,Shih_Tzu,8
146,2,2,2,2,3,0,2,1,2,1,2,1,0,41326,0,5,0.264166667,1,0,0,113,14,2,50,34,90,115,320,240,1,1,Mixed_Breed,0
147,1,0,1,1,7,0,2,1,1,1,1,1,0,41326,0,3,0.2325,1,0,0,62,15,1.5,30,37,49,131,308,400,1,1,Mixed_Breed,0
148,1,2,1,1,2,0,2,1,1,1,2,1,0,41326,0,1,0.4,1,0,0,1,0,0,10,59,163,127,360,480,1,1,Mixed_Breed,0
149,2,0,1,1,7,0,1,1,1,1,2,1,0,41401,0,9,0.281843434,1,0,0,243,38,8.6,83,71,82,135,484,480,0,1,Mixed_Breed,0
150,1,0,2,1,2,0,2,2,2,2,2,1,0,41326,0,1,0.08,1,0.25,1,41,8,0,9,50,47,145,342,400,1,1,Mixed_Breed,0
151,2,1,2,4,0,0,2,1,1,1,1,1,0,41401,0,8,0.153125,1,0,0,54,8,3,75,35,89,132,406,480,1,1,Mixed_Breed,0
152,1,0,2,4,5,7,2,1,2,1,2,1,0,41326,0,5,0.063611111,1,-0.1875,-1,146,31,-1.9,36,63,103,169,400,400,0,1,Mixed_Breed,0
153,1,0,1,1,2,5,2,1,2,2,2,1,0,41326,0,2,0.2575,1,0,0,102,21,1.7,20,14,61,123,225,400,1,1,Mixed_Breed,0
154,2,0,2,1,2,6,3,1,2,2,2,1,0,41401,0,8,0,0,0,0,3,1,0,80,26,38,147,351,341,0,1,Mixed_Breed,0
155,1,2,1,2,4,7,2,2,1,1,1,1,0,41326,0,5,0.216666667,1,0,0,197,37,2.5,46,47,77,130,300,400,1,1,Golden_Retriever__Mixed_Breed,31
156,2,2,2,2,3,5,2,1,1,1,1,1,0,41401,0,2,0.1322558,1,0,0,119,20,3.9,19,31,143,158,300,400,1,1,Mixed_Breed,0
157,2,0,2,1,4,7,1,1,2,2,2,1,0,41326,0,5,0.2203125,1,0,0,-1,-1,-1,43,95,56,127,380,320,0,1,Mixed_Breed__Calico,32
158,2,1,2,3,7,0,2,1,2,1,1,1,0,41326,0,5,0.375,1,0,0,1,1,0.8,49,17,67,149,640,360,1,1,Mixed_Breed,0
159,1,0,2,1,2,0,3,1,3,3,2,1,0,41326,0,2,0.375,1,0,0,21,4,1,19,21,77,132,322,480,0,1,Mixed_Breed,0
160,1,0,2,1,0,0,2,2,2,1,2,1,0,41326,0,4,0.165701284,1,0,0,74,15,0.7,35,53,70,125,347,350,0,1,Mixed_Breed,0
161,2,0,1,4,7,0,2,2,2,2,2,1,5,41326,0,3,0.209333333,1,0,0,24,7,0.9,27,43,65,124,333,366,0,1,Mixed_Breed,0
162,1,2,2,1,0,0,2,1,1,1,1,1,8,41326,0,3,0.359551282,1,0.1875,1,103,27,2.4,26,55,50,134,522,448,1,1,Mixed_Breed,0
163,2,1,2,1,4,7,2,1,1,1,1,1,5,41326,0,5,0.120833333,1,0,0,37,4,1,50,26,28,147,528,576,1,1,Mixed_Breed,0
164,1,2,2,2,3,7,2,1,1,1,1,1,0,41326,0,5,0.625,1,0,0,103,22,0.2,41,15,94,157,398,480,1,1,Mixed_Breed,0
165,2,0,2,1,7,0,1,3,2,2,3,1,25,41326,0,3,0.366666667,1,0,0,-1,-1,-1,28,41,54,123,639,466,0,0,Ragdoll,33
